step,left_arm_j1,left_arm_j2,left_arm_j3,left_arm_j4,left_arm_j5,left_arm_j6,left_arm_j7,right_arm_j1,right_arm_j2,right_arm_j3,right_arm_j4,right_arm_j5,right_arm_j6,right_arm_j7,left_hand_j1,left_hand_j2,left_hand_j3,left_hand_j4,left_hand_j5,left_hand_j6,right_hand_j1,right_hand_j2,right_hand_j3,right_hand_j4,right_hand_j5,right_hand_j6
0,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.36891022881402324,-1.427295353565394,0.32506757318394386,-0.7899709441471688,-1.7885610117598583,0.8467813633626846,2.3369086765263183,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
1,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.36843901574864735,-1.427330240975674,0.3251024938837375,-0.7955559924272285,-1.788665807148753,0.819083023287261,2.3368910996631236,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
2,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9959721136821144,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.368491380153581,-1.427312797270534,0.3251199375888776,-0.8016820618827378,-1.7886309197384729,0.79920372417231,2.336873789116038,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
3,-0.10976375725713464,-1.373975539590645,-1.114863947121658,-0.9960070676714217,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.3685611882636547,-1.427312797270534,0.3251548249991576,-0.8169013617222681,-1.7902190958545416,0.798278675167671,2.3368213248425636,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
4,-0.10979866131217147,-1.3739580958855049,-1.114811616006238,-0.9960070676714217,0.2865307001041158,-0.5590987795080824,0.5916666430576886,0.3686309963737284,-1.427243022449974,0.32524211010388493,-0.8344768267572188,-1.8002548189483418,0.7985754178921332,2.336838901705758,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
5,-0.10976375725713464,-1.373940652180365,-1.114863947121658,-0.9960070676714217,0.2865307001041158,-0.5590289381084951,0.5916666430576886,0.3689451495138169,-1.4272604661551138,0.325434090728966,-0.8557349109475311,-1.8134668942742793,0.7991513264778628,2.336873789116038,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
6,-0.10976375725713464,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.28656562080390946,-0.5590813358029424,0.5916491327735214,0.36898007021361057,-1.4272604661551138,0.325434090728966,-0.8789827093672687,-1.8257366100484924,0.8258200218968345,2.337013338757158,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
7,-0.10979866131217147,-1.3739580958855049,-1.114811616006238,-0.9960245113765617,0.28656562080390946,-0.5590813358029424,0.5916666430576886,0.3701319872536107,-1.427243022449974,0.325434090728966,-0.9054418805874785,-1.8470296482281119,0.8819322934325861,2.337344902312873,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
8,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590987795080824,0.5916666430576886,0.3804119555088847,-1.427243022449974,0.32536428261889233,-0.9375908954766425,-1.8718830664690584,0.9208182403522963,2.3375544930906624,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
9,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9959721136821144,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.3940604230689454,-1.4271906913345538,0.32536428261889233,-0.9701936464365288,-1.8876085000737584,0.934658688537438,2.339666113518986,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
